time,power
0,0.72
0.024,0.72
0.048,0.72
0.072,0.72
0.096,0.72
0.120000005,0.72
0.144,0.72
0.168,0.72
0.192,0.72
0.216,0.72
0.24000001,0.72
0.264,0.72
0.288,0.72
0.312,0.72
0.336,0.72
0.36,0.72
0.384,0.72
0.408,0.72
0.432,0.72
0.456,0.72
0.48000002,0.72
0.504,0.72
0.528,0.72
0.552,0.72
0.576,0.72
0.6,0.72
0.624,0.72
0.648,0.72
0.672,0.72
0.696,0.72
0.72,0.72
0.744,0.72
0.768,0.72
0.792,0.72
0.816,0.72
0.84000003,0.72
0.864,0.72
0.888,0.72
0.912,0.72
0.936,0.72
0.96000004,0.72
0.984,0.72
1.008,0.72
1.0320001,0.72
1.056,0.72
1.08,0.72
1.104,0.72
1.128,0.72
1.152,0.72
1.176,0.72
1.2,0.72
1.224,0.72
1.248,0.72
1.272,0.72
1.296,0.72
1.32,0.72
1.344,0.72
1.368,0.72
1.392,0.72
1.416,0.72
1.44,0.72
1.464,0.72
1.488,0.72
1.512,0.72
1.536,0.72
1.5600001,0.72
1.584,0.72
1.608,0.72
1.632,0.72
1.656,0.72
1.6800001,0.72
1.704,0.72
1.728,0.72
1.752,0.72
1.776,0.72
1.8000001,0.72
1.824,0.72
1.848,0.72
1.872,0.72
1.896,0.72
1.9200001,0.72
1.944,0.72
1.968,0.72
1.992,0.72
2.016,0.72
2.04,0.72
2.0640001,0.72
2.088,0.72
2.112,0.72
2.136,0.72
2.16,0.72
2.184,0.72
2.208,0.72
2.232,0.72
2.256,0.72
2.28,0.72
2.304,0.72
2.328,0.72
2.352,0.72
2.376,0.72
2.4,0.72
2.424,0.72
2.448,0.72
2.4720001,0.72
2.496,0.72
2.52,0.72
2.544,0.72
2.568,0.72
2.592,0.72
2.616,0.72
2.64,0.72
2.664,0.72
2.688,0.72
2.7120001,0.72
2.736,0.72
2.76,0.72
2.784,0.72
2.808,0.72
2.832,0.72
2.856,0.72
2.88,0.72
2.904,0.72
2.928,0.72
2.9520001,0.72
2.976,0.72
3,0.72
3.024,0.72
3.048,0.72
3.072,0.72
3.096,0.72
3.1200001,0.72
3.144,0.72
3.168,0.72
3.192,0.72
3.216,0.72
3.24,0.72
3.264,0.72
3.288,0.72
3.312,0.72
3.336,0.72
3.3600001,0.72
3.384,0.72
3.408,0.72
3.432,0.72
3.456,0.72
3.48,0.72
3.504,0.72
3.528,0.72
3.552,0.72
3.576,0.72
3.6000001,0.72
3.624,0.72
3.648,0.72
3.672,0.72
3.696,0.72
3.72,0.72
3.744,0.72
3.7680001,0.72
3.792,0.72
3.816,0.72
3.8400002,0.72
3.864,0.72
3.888,0.72
3.912,0.72
3.936,0.72
3.96,0.72
3.984,0.72
4.008,0.72
4.032,0.72
4.056,0.72
4.08,0.72
4.104,0.72
4.1280003,0.72
4.152,0.72
