time,power
0,0
0.024,0
0.048,0
0.072,0
0.096,0
0.120000005,0
0.144,0
0.168,0
0.192,0
0.216,0
0.24000001,0
0.264,0
0.288,0
0.312,0
0.336,0
0.36,0
0.384,0
0.408,0
0.432,0
0.456,0
0.48000002,0
0.504,0
0.528,0
0.552,0
0.576,0
0.6,0
0.624,0
0.648,0
0.672,0
0.696,0
0.72,0
0.744,0
0.768,0
0.792,0
0.816,0
0.84000003,0
0.864,0
0.888,0
0.912,0
0.936,0
0.96000004,0
0.984,0
1.008,0
1.0320001,0
1.056,0
1.08,0
1.104,0
1.128,0
1.152,0
1.176,0
1.2,0
1.224,0
1.248,0
1.272,0
1.296,0
1.32,0
1.344,0
1.368,0
1.392,0
1.416,0
1.44,0
1.464,0
1.488,0
1.512,0
1.536,0
1.5600001,0
1.584,0
1.608,0
1.632,0
1.656,0
1.6800001,0
1.704,0
1.728,0
1.752,0
1.776,0
1.8000001,0
1.824,0
1.848,0
1.872,0
1.896,0
1.9200001,0
1.944,0
1.968,0
1.992,0
2.016,0
2.04,0
2.0640001,0
2.088,0
2.112,0
2.136,0
2.16,0
2.184,0
2.208,0
2.232,0
2.256,0
2.28,0
2.304,0
2.328,0
2.352,0
2.376,0
2.4,0
2.424,0
2.448,0
2.4720001,0
2.496,0
2.52,0
2.544,0
2.568,0
2.592,0
2.616,0
2.64,0
2.664,0
2.688,0
2.7120001,0
2.736,0
2.76,0
2.784,0
2.808,0
2.832,0
2.856,0
2.88,0
2.904,0
2.928,0
2.9520001,0
2.976,0
3,0
3.024,0
3.048,0
3.072,0
3.096,0
3.1200001,0
3.144,0
3.168,0
3.192,0
3.216,0
3.24,0
3.264,0
3.288,0
3.312,0
3.336,0
3.3600001,0
3.384,0
3.408,0
3.432,0
3.456,0
3.48,0
3.504,0
3.528,0
3.552,0
3.576,0
3.6000001,0
3.624,0
3.648,0
3.672,0
3.696,0
3.72,0
3.744,0
3.7680001,0
3.792,0
3.816,0
3.8400002,0
3.864,0
3.888,0
3.912,0
3.936,0
3.96,0
3.984,0
4.008,0
4.032,0
4.056,0
4.08,0
4.104,0
4.1280003,0
4.152,0
4.176,0
4.2,0
4.224,0
4.248,0
4.272,0
4.296,0
4.32,0
4.344,0
4.368,0
4.392,0
4.416,0
4.44,0
4.464,0
4.488,0
4.512,0
4.5360003,0
4.56,0
4.584,0
4.608,0
4.632,0
4.656,0
4.68,0
4.704,0
4.728,0
4.752,0
4.776,0
4.8,0
4.824,0
4.848,0
4.872,0
4.896,0
4.92,0
4.9440002,0
4.968,0
4.992,0
5.0160003,30
5.04,30
5.064,30
5.088,30
5.112,30
5.136,30
5.16,30
5.184,30
5.208,30
5.232,30
5.256,30
5.28,60
5.304,60
5.328,60
5.352,60
5.376,60
5.4,60
5.4240003,60
5.448,60
5.472,60
5.496,60
5.52,60
5.544,60
5.568,60
5.592,60
5.616,60
5.64,60
5.664,90
5.688,120
5.712,90
5.736,90
5.76,90
5.784,90
5.808,90
5.8320003,90
5.856,90
5.88,90
5.9040003,90
5.928,90
5.952,1000.95
5.976,1000.95
6,1000.95
6.024,1000.95
6.048,1000.95
6.072,90
6.096,90
6.12,90
6.144,90
6.168,90
6.192,90
6.216,90
6.2400002,90
6.264,120
6.288,120
6.3120003,120
6.336,120
6.36,1000.95
6.384,1911.9
6.408,1911.9
6.432,1030.95
6.456,1030.95
6.48,1030.95
6.504,1030.95
6.528,1030.95
6.552,1941.8999
6.576,1030.95
6.6,1030.95
6.624,90
6.6480002,90
6.672,120
6.696,90
6.7200003,90
6.744,90
6.768,90
6.7920003,90
6.816,90
6.84,90
6.864,90
6.888,90
6.912,90
6.936,120
6.96,120
6.984,120
7.008,90
7.032,90
7.056,90
7.08,90
7.104,90
7.1280003,90
7.152,90
7.176,90
7.2000003,120
7.224,1030.95
7.248,1030.95
7.272,1000.95
7.296,1911.9
7.32,1911.9
7.344,1911.9
7.368,1911.9
7.392,1911.9
7.416,1911.9
7.44,1911.9
7.464,1911.9
7.488,1911.9
7.512,1911.9
7.5360003,1911.9
7.56,1000.95
7.584,1000.95
7.6080003,1911.9
7.632,1911.9
7.656,1000.95
7.6800003,1000.95
7.704,1911.9
7.728,1000.95
7.752,1030.95
7.776,1030.95
7.8,90
7.824,90
7.848,90
7.872,90
7.896,90
7.92,1000.95
7.9440002,1000.95
7.968,1030.95
7.992,1030.95
8.016,1030.95
8.04,120
8.064,120
8.088,120
8.112,120
8.136,120
8.16,150
8.184,150
8.208,150
8.232,120
8.2560005,120
8.28,1030.95
8.304,1030.95
8.328,1030.95
8.352,1030.95
8.376,1030.95
8.4,1000.95
8.424,1000.95
8.448,1000.95
8.472,1000.95
8.496,1000.95
8.52,90
8.544,90
8.568,90
8.592,1000.95
8.616,1000.95
8.64,1000.95
8.6640005,1000.95
8.688,1000.95
8.712,1000.95
8.736,1060.95
8.76,1060.95
8.784,1060.95
8.808,1060.95
8.832,1060.95
8.856,1060.95
8.88,1971.8999
8.904,1971.8999
8.928,1971.8999
8.952,1941.9
8.976,1941.9
9,1030.95
9.024,1060.95
9.048,1060.95
9.0720005,1941.8999
9.096,1941.8999
9.12,1971.8999
9.144,1030.95
9.168,1030.95
9.192,1030.95
9.216,1030.95
9.24,1941.8999
9.264,1911.9
9.288,1911.9
9.312,1000.95
9.336,1030.95
9.36,120
9.384,120
9.408,120
9.432,120
9.456,120
9.4800005,150
9.504,150
9.528,120
9.552,120
9.576,120
9.6,120
9.624001,120
9.648,120
9.672,150
9.696,150
9.72,150
9.744,120
9.768,1030.95
9.792,1030.95
9.816,1000.95
9.84,1030.95
9.864,1030.95
9.8880005,1030.95
9.912,1030.95
9.936,1030.95
9.96,1030.95
9.984,1030.95
10.008,1060.95
10.032001,1060.95
10.056,180
10.08,150
10.104,1030.95
10.128,1030.95
10.152,1030.95
10.176,1030.95
10.2,1000.95
10.224,1000.95
10.248,1000.95
10.272,1000.95
10.2960005,1000.95
10.32,1000.95
10.344,1000.95
10.368,1000.95
10.392,120
10.416,150
10.440001,150
10.464,150
10.488,1090.95
10.512,1090.95
10.536,1060.95
10.56,1060.95
10.584,1060.95
10.608,1030.95
10.632,1030.95
10.656,1030.95
10.68,120
10.704,120
10.728,120
10.752,120
10.776,120
10.8,1030.95
10.824,1030.95
10.848001,1030.95
10.872,1030.95
10.896,1030.95
10.92,1030.95
10.944,1030.95
10.968,1030.95
10.992,1030.95
11.016,1000.95
11.04,120
11.064,120
11.088,120
11.112,1030.95
11.136,1030.95
11.16,120
11.184,120
11.208,120
11.232,120
11.2560005,150
11.28,150
11.304,120
11.328,150
11.352,150
11.376,150
11.400001,150
11.424,150
11.448,150
11.472,120
11.496,120
11.52,120
11.544,120
11.568,120
11.592,120
11.616,120
11.64,120
11.6640005,120
11.688,120
11.712,120
11.736,120
11.76,120
11.784,1030.95
11.808001,120
11.832,120
11.856,120
11.88,120
11.904,120
11.928,120
11.952,120
11.976,120
12,120
12.024,120
12.048,120
12.0720005,120
12.096,120
12.12,120
12.144,120
12.168,120
12.192,120
12.216001,120
12.24,120
12.264,120
12.288,120
12.312,120
12.336,120
12.36,120
12.384,120
12.408,120
12.432,120
12.456,120
12.4800005,120
12.504,120
12.528,120
12.552,120
12.576,120
12.6,120
12.624001,90
12.648,90
12.672,120
12.696,90
12.72,90
12.744,90
12.768,90
12.792,90
12.816,90
12.84,90
12.864,90
12.8880005,90
12.912,90
12.936,90
12.96,90
12.984,120
13.008,120
13.032001,90
13.056,90
13.08,90
13.104,90
13.128,60
13.152,60
13.176,60
13.2,60
13.224,60
13.248,60
13.272,60
13.2960005,60
13.32,60
13.344,60
13.368,60
13.392,60
13.416,60
13.440001,60
13.464,60
13.488,90
13.512,1000.95
13.536,1000.95
13.56,1000.95
13.584001,90
13.608,90
13.632,90
13.656,120
13.68,120
13.704,1030.95
13.728,1030.95
13.752,1030.95
13.776,1030.95
13.8,1060.95
13.824,1060.95
13.848001,1060.95
13.872,1060.95
13.896,1060.95
13.92,1060.95
