time,power
0,0
0.024,0
0.048,0
0.072,0
0.096,0
0.120000005,0
0.144,0
0.168,0
0.192,0
0.216,0
0.24000001,0
0.264,0
0.288,0
0.312,0
0.336,0
0.36,0
0.384,0
0.408,0
0.432,0
0.456,0
0.48000002,0
0.504,0
0.528,0
0.552,0
0.576,0
0.6,0
0.624,0
0.648,0
0.672,0
0.696,0
0.72,0
0.744,0
0.768,0
0.792,0
0.816,0
0.84000003,0
0.864,0
0.888,0
0.912,0
0.936,0
0.96000004,0
0.984,0
1.008,0
1.0320001,0
1.056,0
1.08,0
1.104,0
1.128,0
1.152,0
1.176,0
1.2,0
1.224,0
1.248,0
1.272,0
1.296,0
1.32,0
1.344,0
1.368,0
1.392,0
1.416,0
1.44,0
1.464,0
1.488,0
1.512,0
1.536,0
1.5600001,0
1.584,0
1.608,0
1.632,0
1.656,0
1.6800001,0
1.704,0
1.728,0
1.752,0
1.776,0
1.8000001,0
1.824,0
1.848,0
1.872,0
1.896,0
1.9200001,0
1.944,0
1.968,0
1.992,0
2.016,0
2.04,0
2.0640001,0
2.088,0
2.112,0
2.136,0
2.16,0
2.184,0
2.208,0
2.232,0
2.256,0
2.28,0
2.304,0
2.328,0
2.352,0
2.376,0
2.4,0
2.424,0
2.448,0
2.4720001,0
2.496,0
2.52,0
2.544,0
2.568,0
2.592,0
2.616,0
2.64,0
2.664,0
2.688,0
2.7120001,0
2.736,0
2.76,0
2.784,0
2.808,0
2.832,0
2.856,0
2.88,0
2.904,0
2.928,0
2.9520001,0
2.976,0
3,0
3.024,0
3.048,0
3.072,0
3.096,0
3.1200001,0
3.144,0
3.168,0
3.192,0
3.216,0
3.24,0
3.264,0
3.288,0
3.312,0
3.336,0
3.3600001,0
3.384,0
3.408,0
3.432,0
3.456,0
3.48,0
3.504,0
3.528,0
3.552,0
3.576,0
3.6000001,0
3.624,0
3.648,0
3.672,0
3.696,0
3.72,0
3.744,0
3.7680001,0
3.792,0
3.816,0
3.8400002,0
3.864,0
3.888,0
3.912,0
3.936,0
3.96,0
3.984,0
4.008,0
4.032,0
4.056,0
4.08,0
4.104,0
4.1280003,0
4.152,0
4.176,0
4.2,0
4.224,0
4.248,0
4.272,0
4.296,0
4.32,0
4.344,0
4.368,0
4.392,0
4.416,0
4.44,0
4.464,0
4.488,0
4.512,0
4.5360003,0
4.56,0
4.584,0
4.608,0
4.632,0
4.656,0
4.68,0
4.704,0
4.728,0
4.752,0
4.776,0
4.8,0
4.824,0
4.848,0
4.872,0
4.896,0
4.92,0
4.9440002,0
4.968,0
4.992,0
5.0160003,0
5.04,0
5.064,0
5.088,0
5.112,0
5.136,0
5.16,0
5.184,0
5.208,0
5.232,0
5.256,0
5.28,0
5.304,0
5.328,0.72
5.352,1.44
5.376,2.16
5.4,2.88
5.4240003,3.6000001
5.448,4.32
5.472,5.04
5.496,5.76
5.52,6.4800005
5.544,7.200001
5.568,7.920001
5.592,8.640001
5.616,9.360002
5.64,10.080002
5.664,11.520002
5.688,12.960003
5.712,14.400003
5.736,15.840004
5.76,17.280003
5.784,18.720001
5.808,20.16
5.8320003,21.599998
5.856,23.039997
5.88,24.479996
5.9040003,25.919994
5.928,27.359993
5.952,28.799992
5.976,30.23999
6,32.39999
6.024,34.559994
6.048,36.719997
6.072,38.88
6.096,41.040005
6.12,43.20001
6.144,45.360012
6.168,47.520016
6.192,49.68002
6.216,51.840023
6.2400002,54.000027
6.264,56.16003
6.288,58.320034
6.3120003,60.480038
6.336,63.360043
6.36,66.960045
6.384,70.56005
6.408,74.16006
6.432,77.76006
6.456,81.36007
6.48,84.960075
6.504,88.56008
6.528,92.16009
6.552,95.76009
6.576,99.3601
6.6,102.960106
6.624,106.56011
6.6480002,110.16012
6.672,113.760124
6.696,117.36013
6.7200003,142.82294
6.744,168.28574
6.768,193.74854
6.7920003,219.21133
6.816,244.67413
6.84,270.13693
6.864,296.31973
6.888,322.50253
6.912,348.68533
6.936,374.86813
6.96,379.18814
6.984,383.50815
7.008,387.82816
7.032,392.14816
7.056,396.46817
7.08,400.78818
7.104,405.1082
7.1280003,409.4282
7.152,413.7482
7.176,418.0682
7.2000003,422.3882
7.224,426.70822
7.248,431.02823
7.272,436.06824
7.296,441.10825
7.32,445.42825
7.344,450.46826
7.368,455.50827
7.392,460.54828
7.416,465.5883
7.44,470.6283
7.464,497.5311
7.488,524.4339
7.512,551.3365
7.5360003,578.2391
7.56,605.14166
7.584,632.04425
7.6080003,658.94684
7.632,685.8494
7.656,713.472
7.6800003,741.8145
7.704,770.15704
7.728,798.4996
7.752,804.9793
7.776,811.45905
7.8,817.9388
7.824,824.4185
7.848,830.89825
7.872,837.378
7.896,843.8577
7.92,850.33746
7.9440002,856.8172
7.968,863.29694
7.992,869.7767
8.016,876.2564
8.04,882.73615
8.064,888.4959
8.088,894.2557
8.112,900.01544
8.136,905.7752
8.16,911.535
8.184,917.29474
8.208,923.0545
8.232,928.8143
8.2560005,934.57404
8.28,940.3338
8.304,946.09357
8.328,951.85333
8.352,957.6131
8.376,985.23566
8.4,1012.8582
8.424,1041.2008
8.448,1069.5433
8.472,1097.8859
8.496,1126.2284
8.52,1154.5709
8.544,1182.9135
8.568,1211.256
8.592,1217.7357
8.616,1224.2155
8.64,1230.6952
8.6640005,1237.1749
8.688,1243.6547
8.712,1250.1344
8.736,1256.6141
8.76,1263.0939
8.784,1291.4364
8.808,1319.7789
8.832,1348.1215
8.856,1376.464
8.88,1404.8065
8.904,1433.149
8.928,1462.2115
8.952,1490.5541
8.976,1518.8966
9,1525.3763
9.024,1553.7189
9.048,1582.0614
9.0720005,1609.684
9.096,1637.3065
9.12,1664.2091
9.144,1691.1117
9.168,1718.0143
9.192,1744.9169
9.216,1771.8195
9.24,1798.722
9.264,1825.6246
9.288,1853.2472
9.312,1859.007
9.336,1864.7667
9.36,1870.5265
9.384,1876.2863
9.408,1882.046
9.432,1887.8058
9.456,1893.5656
9.4800005,1899.3253
9.504,1905.0851
9.528,1910.8448
9.552,1916.6046
9.576,1922.3644
9.6,1928.1241
9.624001,1955.7467
9.648,1983.3693
9.672,2010.9918
9.696,2038.6144
9.72,2066.237
9.744,2093.1396
9.768,2120.0422
9.792,2146.2249
9.816,2172.4075
9.84,2198.59
9.864,2202.91
9.8880005,2207.2297
9.912,2211.5496
9.936,2237.7322
9.96,2263.9148
9.984,2290.0974
10.008,2316.28
10.032001,2342.4626
10.056,2368.6453
10.08,2394.108
10.104,2419.5706
10.128,2444.3132
10.152,2469.056
10.176,2493.7986
10.2,2496.6785
10.224,2499.5583
10.248,2502.4382
10.272,2505.318
10.2960005,2508.198
10.32,2511.078
10.344,2513.9578
10.368,2516.8376
10.392,2519.7175
10.416,2521.8774
10.440001,2524.0374
10.464,2526.1973
10.488,2527.6372
10.512,2529.0771
10.536,2529.797
10.56,2530.517
10.584,2531.237
10.608,2531.957
10.632,2554.5398
10.656,2577.1226
10.68,2599.7053
10.704,2622.288
10.728,2645.5908
10.752,2668.1736
10.776,2690.7563
10.8,2713.339
10.824,2735.9219
10.848001,2758.5046
10.872,2781.0874
10.896,2803.6702
10.92,2826.253
10.944,2826.973
10.968,2827.6929
10.992,2828.4128
11.016,2829.1328
11.04,2829.8528
11.064,2830.5728
11.088,2831.2927
11.112,2832.0127
11.136,2832.7327
11.16,2833.4526
11.184,2834.1726
11.208,2835.6125
11.232,2837.0525
11.2560005,2838.4924
11.28,2839.9324
11.304,2841.3723
11.328,2842.8123
11.352,2844.9722
11.376,2847.132
11.400001,2849.292
11.424,2850.732
11.448,2852.1719
11.472,2853.6118
11.496,2855.0518
11.52,2856.4917
11.544,2857.9316
11.568,2859.3716
11.592,2860.8115
11.616,2862.2515
11.64,2863.6914
11.6640005,2865.1313
11.688,2868.0112
11.712,2870.891
11.736,2873.771
11.76,2876.651
11.784,2879.5308
11.808001,2882.4106
11.832,2885.2905
11.856,2888.1704
11.88,2891.0503
11.904,2893.9302
11.928,2896.81
11.952,2899.69
