time,power
0,0
0.024,0
0.048,0
0.072,0
0.096,0
0.120000005,0
0.144,0
0.168,0
0.192,0
0.216,0
0.24000001,0
0.264,0
0.288,0
0.312,0
0.336,0
0.36,0
0.384,0
0.408,0
0.432,0
0.456,0
0.48000002,0
0.504,0
0.528,0
0.552,0
0.576,0
0.6,0
0.624,0
0.648,0
0.672,0
0.696,0
0.72,0
0.744,0
0.768,0
0.792,0
0.816,0
0.84000003,0
0.864,0
0.888,0
0.912,0
0.936,0
0.96000004,0
0.984,0
1.008,0
1.0320001,0
1.056,0
1.08,0
1.104,0
1.128,0
1.152,0
1.176,0
1.2,0
1.224,0
1.248,0
1.272,0
1.296,0
1.32,0
1.344,0
1.368,0
1.392,0
1.416,0
1.44,0
1.464,0
1.488,0
1.512,0
1.536,0
1.5600001,0
1.584,0
1.608,0
1.632,0
1.656,0
1.6800001,0
1.704,0
1.728,0
1.752,0
1.776,0
1.8000001,0
1.824,0
1.848,0
1.872,0
1.896,0
1.9200001,0
1.944,0
1.968,0
1.992,0
2.016,0
2.04,0
2.0640001,0
2.088,0
2.112,0
2.136,0
2.16,0
2.184,0
2.208,0
2.232,0
2.256,0
2.28,0
2.304,0
2.328,0
2.352,0
2.376,0
2.4,0
2.424,0
2.448,0
2.4720001,0
2.496,0
2.52,0
2.544,0
2.568,0
2.592,0
2.616,0
2.64,0
2.664,0
2.688,0
2.7120001,0
2.736,0
2.76,0
2.784,0
2.808,0
2.832,0
2.856,0
2.88,0
2.904,0
2.928,0
2.9520001,0
2.976,0
3,0
3.024,0
3.048,0
3.072,0
3.096,0
3.1200001,0
3.144,0
3.168,0
3.192,0
3.216,0
3.24,0
3.264,0
3.288,0
3.312,0
3.336,0
3.3600001,0
3.384,0
3.408,0
3.432,0
3.456,0
3.48,0
3.504,0
3.528,0
3.552,0
3.576,0
3.6000001,0
3.624,0
3.648,0
3.672,0
3.696,0
3.72,0
3.744,0
3.7680001,0
3.792,0
3.816,0
3.8400002,0
3.864,0
3.888,0
3.912,0
3.936,0
3.96,0
3.984,0
4.008,0
4.032,0
4.056,0
4.08,0
4.104,0
4.1280003,0
4.152,0
4.176,0
4.2,0
4.224,0
4.248,0
4.272,0
4.296,0
4.32,0
4.344,0
4.368,0
4.392,0
4.416,0
4.44,0
4.464,0
4.488,0
4.512,0
4.5360003,0
4.56,0
4.584,0
4.608,0
4.632,0
4.656,0
4.68,0
4.704,0
4.728,0
4.752,0
4.776,0
4.8,0
4.824,0
4.848,0
4.872,0
4.896,0
4.92,0
4.9440002,0
4.968,0
4.992,0
5.0160003,0
5.04,0
5.064,0
5.088,0
5.112,0
5.136,0
5.16,0
5.184,0
5.208,0
5.232,0
5.256,0
5.28,0
5.304,0
5.328,30
5.352,30
5.376,30
5.4,30
5.4240003,30
5.448,30
5.472,30
5.496,30
5.52,30
5.544,30
5.568,30
5.592,30
5.616,30
5.64,30
5.664,60
5.688,60
5.712,60
5.736,60
5.76,60
5.784,60
5.808,60
5.8320003,60
5.856,60
5.88,60
5.9040003,60
5.928,60
5.952,60
5.976,60
6,90
6.024,90
6.048,90
6.072,90
6.096,90
6.12,90
6.144,90
6.168,90
6.192,90
6.216,90
6.2400002,90
6.264,90
6.288,90
6.3120003,90
6.336,120
6.36,150
6.384,150
6.408,150
6.432,150
6.456,150
6.48,150
6.504,150
6.528,150
6.552,150
6.576,150
6.6,150
6.624,150
6.6480002,150
6.672,150
6.696,150
6.7200003,1060.95
6.744,1060.95
6.768,1060.95
6.7920003,1060.95
6.816,1060.95
6.84,1060.95
6.864,1090.95
6.888,1090.95
6.912,1090.95
6.936,1090.95
6.96,180
6.984,180
7.008,180
7.032,180
7.056,180
7.08,180
7.104,180
7.1280003,180
7.152,180
7.176,180
7.2000003,180
7.224,180
7.248,180
7.272,210
7.296,210
7.32,180
7.344,210
7.368,210
7.392,210
7.416,210
7.44,210
7.464,1120.95
7.488,1120.95
7.512,1120.95
7.5360003,1120.95
7.56,1120.95
7.584,1120.95
7.6080003,1120.95
7.632,1120.95
7.656,1150.95
7.6800003,1180.95
7.704,1180.95
7.728,1180.95
7.752,270
7.776,270
7.8,270
7.824,270
7.848,270
7.872,270
7.896,270
7.92,270
7.9440002,270
7.968,270
7.992,270
8.016,270
8.04,270
8.064,240
8.088,240
8.112,240
8.136,240
8.16,240
8.184,240
8.208,240
8.232,240
8.2560005,240
8.28,240
8.304,240
8.328,240
8.352,240
8.376,1150.95
8.4,1150.95
8.424,1180.95
8.448,1180.95
8.472,1180.95
8.496,1180.95
8.52,1180.95
8.544,1180.95
8.568,1180.95
8.592,270
8.616,270
8.64,270
8.6640005,270
8.688,270
8.712,270
8.736,270
8.76,270
8.784,1180.95
8.808,1180.95
8.832,1180.95
8.856,1180.95
8.88,1180.95
8.904,1180.95
8.928,1210.95
8.952,1180.95
8.976,1180.95
9,270
9.024,1180.95
9.048,1180.95
9.0720005,1150.95
9.096,1150.95
9.12,1120.95
9.144,1120.95
9.168,1120.95
9.192,1120.95
9.216,1120.95
9.24,1120.95
9.264,1120.95
9.288,1150.95
9.312,240
9.336,240
9.36,240
9.384,240
9.408,240
9.432,240
9.456,240
9.4800005,240
9.504,240
9.528,240
9.552,240
9.576,240
9.6,240
9.624001,1150.95
9.648,1150.95
9.672,1150.95
9.696,1150.95
9.72,1150.95
9.744,1120.95
9.768,1120.95
9.792,1090.95
9.816,1090.95
9.84,1090.95
9.864,180
9.8880005,180
9.912,180
9.936,1090.95
9.96,1090.95
9.984,1090.95
10.008,1090.95
10.032001,1090.95
10.056,1090.95
10.08,1060.95
10.104,1060.95
10.128,1030.95
10.152,1030.95
10.176,1030.95
10.2,120
10.224,120
10.248,120
10.272,120
10.2960005,120
10.32,120
10.344,120
10.368,120
10.392,120
10.416,90
10.440001,90
10.464,90
10.488,60
10.512,60
10.536,30
10.56,30
10.584,30
10.608,30
10.632,940.95
10.656,940.95
10.68,940.95
10.704,940.95
10.728,970.95
10.752,940.95
10.776,940.95
10.8,940.95
10.824,940.95
10.848001,940.95
10.872,940.95
10.896,940.95
10.92,940.95
10.944,30
10.968,30
10.992,30
11.016,30
11.04,30
11.064,30
11.088,30
11.112,30
11.136,30
11.16,30
11.184,30
11.208,60
11.232,60
11.2560005,60
11.28,60
11.304,60
11.328,60
11.352,90
11.376,90
11.400001,90
11.424,60
11.448,60
11.472,60
11.496,60
11.52,60
11.544,60
11.568,60
11.592,60
11.616,60
11.64,60
11.6640005,60
11.688,120
11.712,120
11.736,120
11.76,120
11.784,120
11.808001,120
11.832,120
11.856,120
11.88,120
11.904,120
11.928,120
11.952,120
11.976,120
12,120
12.024,120
12.048,120
12.0720005,120
12.096,120
12.12,120
12.144,120
12.168,120
12.192,120
12.216001,120
12.24,120
12.264,150
12.288,150
12.312,150
12.336,150
12.36,150
12.384,150
12.408,150
12.432,150
12.456,150
12.4800005,180
12.504,180
12.528,180
12.552,180
12.576,180
12.6,180
12.624001,180
12.648,180
12.672,180
12.696,180
12.72,180
12.744,180
12.768,180
12.792,180
12.816,180
12.84,180
12.864,180
12.8880005,180
12.912,180
12.936,180
12.96,180
12.984,180
13.008,180
13.032001,150
13.056,150
13.08,150
13.104,150
13.128,150
13.152,150
13.176,150
13.2,150
13.224,150
13.248,150
13.272,150
13.2960005,150
13.32,150
13.344,150
13.368,150
13.392,150
13.416,150
13.440001,150
13.464,120
13.488,120
13.512,150
13.536,150
13.56,180
13.584001,180
13.608,180
13.632,180
13.656,180
13.68,180
13.704,180
13.728,180
13.752,180
13.776,150
13.8,90
13.824,90
13.848001,90
13.872,120
13.896,120
13.92,120
13.944,150
13.968,150
13.992001,150
14.016,150
14.04,150
14.064,150
14.088,150
14.112,150
14.136,180
14.16,180
14.184,180
14.208,180
14.232,180
14.2560005,180
14.28,150
14.304,150
14.328,150
14.352,150
14.376,150
14.400001,150
14.424,150
14.448,150
14.472,150
14.496,150
14.52,150
14.544,120
14.568,120
14.592,120
14.616,120
14.64,120
14.6640005,120
14.688,120
