time,power
0,0
0.024,0
0.048,0
0.072,0
0.096,0
0.120000005,0
0.144,0
0.168,0
0.192,0
0.216,0
0.24000001,0
0.264,0
0.288,0
0.312,0
0.336,0
0.36,0
0.384,0
0.408,0
0.432,0
0.456,0
0.48000002,0
0.504,0
0.528,0
0.552,0
0.576,0
0.6,0
0.624,0
0.648,0
0.672,0
0.696,0
0.72,0
0.744,0
0.768,0
0.792,0
0.816,0
0.84000003,0
0.864,0
0.888,0
0.912,0
0.936,0
0.96000004,0
0.984,0
1.008,0
1.0320001,0
1.056,0
1.08,0
1.104,0
1.128,0
1.152,0
1.176,0
1.2,0
1.224,0
1.248,0
1.272,0
1.296,0
1.32,0
1.344,0
1.368,0
1.392,0
1.416,0
1.44,0
1.464,0
1.488,0
1.512,0
1.536,0
1.5600001,0
1.584,0
1.608,0
1.632,0
1.656,0
1.6800001,0
1.704,0
1.728,0
1.752,0
1.776,0
1.8000001,0
1.824,0
1.848,0
1.872,0
1.896,0
1.9200001,0
1.944,0
1.968,0
1.992,0
2.016,0
2.04,0
2.0640001,0
2.088,0
2.112,0
2.136,0
2.16,0
2.184,0
2.208,0
2.232,0
2.256,0
2.28,0
2.304,0
2.328,0
2.352,0
2.376,0
2.4,0
2.424,0
2.448,0
2.4720001,0
2.496,0
2.52,0
2.544,0
2.568,0
2.592,0
2.616,0
2.64,0
2.664,0
2.688,0
2.7120001,0
2.736,0
2.76,0
2.784,0
2.808,0
2.832,0
2.856,0
2.88,0
2.904,0
2.928,0
2.9520001,0
2.976,0
3,0
3.024,0
3.048,0
3.072,0
3.096,0
3.1200001,0
3.144,0
3.168,0
3.192,0
3.216,0
3.24,0
3.264,0
3.288,0
3.312,0
3.336,0
3.3600001,0
3.384,0
3.408,0
3.432,0
3.456,0
3.48,0
3.504,0
3.528,0
3.552,0
3.576,0
3.6000001,0
3.624,0
3.648,0
3.672,0
3.696,0
3.72,0
3.744,0
3.7680001,0
3.792,0
3.816,0
3.8400002,0
3.864,0
3.888,0
3.912,0
3.936,0
3.96,0
3.984,0
4.008,0
4.032,0
4.056,0
4.08,0
4.104,0
4.1280003,0
4.152,0
4.176,0
4.2,0
4.224,0
4.248,0
4.272,0
4.296,0
4.32,0
4.344,0
4.368,0
4.392,0
4.416,0
4.44,0
4.464,0
4.488,0
4.512,0
4.5360003,0
4.56,0
4.584,0
4.608,0
4.632,0
4.656,0
4.68,0
4.704,0
4.728,0
4.752,0
4.776,0
4.8,0
4.824,0
4.848,0
4.872,0
4.896,0
4.92,0
4.9440002,0
4.968,0
4.992,0
5.0160003,0
5.04,0
5.064,0
5.088,0
5.112,0
5.136,0
5.16,0.72
5.184,1.44
5.208,2.16
5.232,2.88
5.256,3.6000001
5.28,3.6000001
5.304,3.6000001
5.328,3.6000001
5.352,3.6000001
5.376,3.6000001
5.4,3.6000001
5.4240003,3.6000001
5.448,3.6000001
5.472,3.6000001
5.496,3.6000001
5.52,3.6000001
5.544,3.6000001
5.568,3.6000001
5.592,3.6000001
5.616,4.32
5.64,5.04
5.664,5.76
5.688,6.4800005
5.712,7.200001
5.736,29.782803
5.76,52.3656
5.784,74.9484
5.808,97.531204
5.8320003,120.83401
5.856,144.13681
5.88,167.4396
5.9040003,190.7424
5.928,214.0452
5.952,237.34799
5.976,238.788
6,262.0908
6.024,285.3936
6.048,308.69638
6.072,331.99918
6.096,356.02197
6.12,380.04477
6.144,404.06757
6.168,428.09036
6.192,452.11316
6.216,476.13596
6.2400002,478.29596
6.264,480.45596
6.288,482.61597
6.3120003,485.49597
6.336,510.23877
6.36,534.26154
6.384,558.28424
6.408,582.30695
6.432,606.32965
6.456,630.35236
6.48,654.37506
6.504,678.39777
6.528,702.4205
6.552,726.4432
6.576,750.4659
6.6,752.6258
6.624,754.7857
6.6480002,756.9456
6.672,759.1055
6.696,761.26544
6.7200003,762.7054
6.744,764.1453
6.768,765.58527
6.7920003,767.0252
6.816,768.46515
6.84,769.9051
6.864,771.34503
6.888,772.785
6.912,774.2249
6.936,775.66486
6.96,777.1048
6.984,778.54474
7.008,781.4246
7.032,784.3045
7.056,787.1844
7.08,790.0643
7.104,792.94415
7.1280003,795.82404
7.152,798.7039
7.176,801.5838
7.2000003,804.4637
7.224,807.34357
7.248,810.22345
7.272,813.10333
7.296,815.9832
7.32,841.44586
7.344,866.9085
7.368,892.37115
7.392,917.8338
7.416,943.29645
7.44,968.7591
7.464,994.22174
7.488,1019.6844
7.512,1045.1471
7.5360003,1070.6097
7.56,1074.2096
7.584,1099.6722
7.6080003,1125.1349
7.632,1150.5975
7.656,1176.0602
7.6800003,1201.5228
7.704,1226.9855
7.728,1251.7281
7.752,1276.4708
7.776,1301.2135
7.8,1326.6761
7.824,1330.276
7.848,1333.8759
7.872,1337.4757
7.896,1341.0756
7.92,1344.6754
7.9440002,1370.1381
7.968,1396.3207
7.992,1422.5033
8.016,1448.6859
8.04,1474.8685
8.064,1501.0511
8.088,1527.2338
8.112,1553.4164
8.136,1579.599
8.16,1605.7816
8.184,1631.9642
8.208,1636.284
8.232,1640.6039
8.2560005,1644.9237
8.28,1671.1063
8.304,1697.289
8.328,1723.4716
8.352,1750.3741
8.376,1776.5568
8.4,1802.7394
8.424,1828.922
8.448,1855.1046
8.472,1881.2872
8.496,1907.4698
8.52,1912.5096
8.544,1938.6923
8.568,1964.8749
8.592,1991.0575
8.616,2017.9601
8.64,2044.8627
8.6640005,2071.7654
8.688,2098.668
8.712,2124.8506
8.736,2150.3132
8.76,2175.776
8.784,2200.5186
8.808,2203.3984
8.832,2206.2783
8.856,2209.1582
8.88,2212.038
8.904,2214.918
8.928,2217.7979
8.952,2220.6777
8.976,2223.5576
9,2226.4375
9.024,2230.0374
9.048,2233.6372
9.0720005,2237.237
9.096,2240.837
9.12,2244.4368
9.144,2248.0366
9.168,2273.4993
9.192,2298.962
9.216,2324.4246
9.24,2349.1672
9.264,2373.91
9.288,2398.6526
9.312,2423.3953
9.336,2448.138
9.36,2472.8806
9.384,2497.6233
9.408,2522.366
9.432,2547.1086
9.456,2549.2686
9.4800005,2551.4285
9.504,2553.5884
9.528,2555.7483
9.552,2557.9082
9.576,2560.068
9.6,2562.228
9.624001,2564.388
9.648,2566.5479
9.672,2568.7078
9.696,2570.8677
9.72,2573.0276
9.744,2574.4675
9.768,2597.0503
9.792,2619.633
9.816,2642.2158
9.84,2664.7986
9.864,2687.3813
9.8880005,2709.964
9.912,2732.5469
9.936,2755.1296
9.96,2777.7124
9.984,2800.2952
10.008,2822.158
10.032001,2844.0208
10.056,2865.8835
10.08,2865.8835
10.104,2865.8835
10.128,2866.6035
10.152,2867.3235
10.176,2868.0435
10.2,2890.6262
10.224,2913.209
10.248,2935.7917
10.272,2958.3745
10.2960005,2980.9573
10.32,3003.54
10.344,3026.1228
10.368,3047.9856
10.392,3069.8484
10.416,3091.7112
10.440001,3113.574
10.464,3135.4368
10.488,3157.2996
10.512,3157.2996
10.536,3157.2996
10.56,3157.2996
10.584,3157.2996
10.608,3157.2996
10.632,3157.2996
10.656,3157.2996
10.68,3157.2996
10.704,3157.2996
10.728,3157.2996
10.752,3157.2996
10.776,3157.2996
10.8,3157.2996
10.824,3158.0195
10.848001,3158.7395
10.872,3159.4595
10.896,3160.1794
10.92,3182.0422
10.944,3203.905
10.968,3225.7678
10.992,3247.6306
11.016,3269.4934
11.04,3291.3562
11.064,3313.219
11.088,3335.0818
11.112,3356.9446
11.136,3378.8074
11.16,3400.6702
11.184,3422.533
11.208,3422.533
11.232,3422.533
11.2560005,3422.533
11.28,3422.533
11.304,3422.533
11.328,3422.533
11.352,3422.533
11.376,3422.533
11.400001,3422.533
11.424,3422.533
11.448,3422.533
11.472,3422.533
11.496,3422.533
11.52,3422.533
11.544,3422.533
11.568,3422.533
11.592,3422.533
11.616,3422.533
11.64,3422.533
11.6640005,3423.253
11.688,3423.973
11.712,3424.6929
11.736,3425.4128
11.76,3426.1328
11.784,3427.5728
11.808001,3429.0127
