time,power
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
0.003,0
