time,power
0,22.5828
0.024,22.5828
0.048,22.5828
0.072,22.5828
0.096,22.5828
0.120000005,22.5828
0.144,22.5828
0.168,22.5828
0.192,22.5828
0.216,22.5828
0.24000001,22.5828
0.264,22.5828
0.288,22.5828
0.312,22.5828
0.336,22.5828
0.36,22.5828
0.384,22.5828
0.408,22.5828
0.432,22.5828
0.456,22.5828
0.48000002,22.5828
0.504,22.5828
0.528,22.5828
0.552,22.5828
0.576,22.5828
0.6,22.5828
0.624,22.5828
0.648,22.5828
0.672,22.5828
0.696,22.5828
0.72,22.5828
0.744,22.5828
0.768,22.5828
0.792,22.5828
0.816,22.5828
0.84000003,22.5828
0.864,22.5828
0.888,22.5828
0.912,22.5828
0.936,22.5828
0.96000004,22.5828
0.984,22.5828
1.008,22.5828
1.0320001,22.5828
1.056,22.5828
1.08,22.5828
1.104,22.5828
1.128,22.5828
1.152,22.5828
1.176,22.5828
1.2,22.5828
1.224,22.5828
1.248,22.5828
1.272,22.5828
1.296,22.5828
1.32,22.5828
1.344,22.5828
1.368,22.5828
1.392,22.5828
1.416,22.5828
1.44,22.5828
1.464,22.5828
1.488,22.5828
1.512,22.5828
1.536,22.5828
1.5600001,22.5828
1.584,22.5828
1.608,22.5828
1.632,22.5828
1.656,22.5828
1.6800001,22.5828
1.704,22.5828
1.728,22.5828
1.752,22.5828
1.776,22.5828
1.8000001,22.5828
1.824,22.5828
1.848,22.5828
1.872,22.5828
1.896,22.5828
1.9200001,22.5828
1.944,22.5828
1.968,22.5828
1.992,22.5828
2.016,22.5828
2.04,22.5828
2.0640001,22.5828
2.088,22.5828
2.112,22.5828
2.136,22.5828
2.16,22.5828
2.184,22.5828
2.208,22.5828
2.232,22.5828
2.256,22.5828
2.28,22.5828
2.304,22.5828
2.328,22.5828
2.352,22.5828
2.376,22.5828
2.4,22.5828
2.424,22.5828
2.448,22.5828
2.4720001,22.5828
2.496,22.5828
2.52,22.5828
2.544,22.5828
2.568,22.5828
2.592,22.5828
2.616,22.5828
2.64,22.5828
2.664,22.5828
2.688,22.5828
2.7120001,22.5828
2.736,22.5828
2.76,22.5828
2.784,22.5828
2.808,22.5828
2.832,22.5828
2.856,22.5828
2.88,22.5828
2.904,22.5828
2.928,22.5828
2.9520001,22.5828
2.976,22.5828
3,22.5828
3.024,22.5828
3.048,22.5828
3.072,22.5828
3.096,22.5828
3.1200001,22.5828
3.144,22.5828
3.168,22.5828
3.192,22.5828
3.216,22.5828
3.24,22.5828
3.264,22.5828
3.288,22.5828
3.312,22.5828
3.336,22.5828
3.3600001,22.5828
3.384,22.5828
3.408,22.5828
3.432,22.5828
3.456,22.5828
3.48,22.5828
3.504,22.5828
3.528,22.5828
3.552,22.5828
3.576,22.5828
3.6000001,22.5828
3.624,22.5828
3.648,22.5828
3.672,22.5828
3.696,22.5828
3.72,22.5828
3.744,22.5828
3.7680001,22.5828
3.792,22.5828
3.816,22.5828
3.8400002,22.5828
3.864,22.5828
3.888,22.5828
3.912,22.5828
3.936,22.5828
3.96,22.5828
3.984,22.5828
4.008,22.5828
4.032,22.5828
4.056,22.5828
4.08,22.5828
4.104,22.5828
4.1280003,22.5828
4.152,22.5828
4.176,22.5828
4.2,22.5828
4.224,22.5828
4.248,22.5828
4.272,22.5828
4.296,22.5828
4.32,22.5828
4.344,22.5828
4.368,22.5828
4.392,22.5828
4.416,22.5828
4.44,22.5828
4.464,22.5828
4.488,22.5828
4.512,22.5828
4.5360003,22.5828
4.56,22.5828
4.584,22.5828
4.608,22.5828
4.632,22.5828
4.656,22.5828
4.68,22.5828
4.704,22.5828
4.728,22.5828
4.752,22.5828
4.776,22.5828
4.8,22.5828
4.824,22.5828
4.848,22.5828
4.872,22.5828
4.896,22.5828
4.92,22.5828
4.9440002,22.5828
4.968,22.5828
4.992,22.5828
5.0160003,22.5828
5.04,22.5828
5.064,22.5828
5.088,22.5828
5.112,22.5828
5.136,22.5828
5.16,22.5828
5.184,22.5828
5.208,22.5828
5.232,22.5828
5.256,22.5828
5.28,22.5828
5.304,22.5828
5.328,45.165604
5.352,46.605606
5.376,69.90841
5.4,93.21121
5.4240003,116.514015
5.448,139.81682
5.472,163.11963
5.496,186.42242
5.52,209.72522
5.544,233.02802
5.568,256.3308
5.592,279.6336
5.616,281.0736
5.64,282.5136
5.664,283.9536
5.688,285.39362
5.712,286.83362
5.736,288.27362
5.76,311.57642
5.784,334.8792
5.808,358.182
5.8320003,382.2048
5.856,405.5076
5.88,428.8104
5.9040003,452.1132
5.928,475.416
5.952,498.71878
5.976,522.0216
6,523.46155
6.024,524.9015
6.048,527.0614
6.072,529.2213
6.096,531.3812
6.12,533.54114
6.144,535.70105
6.168,537.86096
6.192,540.0209
6.216,542.1808
6.2400002,566.92346
6.264,591.66614
6.288,594.546
6.3120003,597.4259
6.336,599.5858
6.36,601.7457
6.384,603.90564
6.408,606.06555
6.432,608.22546
6.456,610.3854
6.48,612.5453
6.504,614.7052
6.528,616.8651
6.552,619.025
6.576,621.18494
6.6,624.0648
6.624,626.22473
6.6480002,629.1046
6.672,631.9845
6.696,634.8644
6.7200003,637.74426
6.744,640.62415
6.768,643.504
6.7920003,646.3839
6.816,649.2638
6.84,673.2865
6.864,718.452
6.888,763.61755
6.912,809.50305
6.936,855.38855
6.96,901.27405
6.984,947.15955
7.008,993.04504
7.032,1038.9305
7.056,1084.816
7.08,1130.7015
7.104,1154.7242
7.1280003,1157.6041
7.152,1160.484
