time,power
0,0
0.024,0
0.048,0
0.072,0
0.096,0
0.120000005,0
0.144,0
0.168,0
0.192,0
0.216,0
0.24000001,0
0.264,0
0.288,0
0.312,0
0.336,0
0.36,0
0.384,0
0.408,0
0.432,0
0.456,0
0.48000002,0
0.504,0
0.528,0
0.552,0
0.576,0
0.6,0
0.624,0
0.648,0
0.672,0
0.696,0
0.72,0
0.744,0
0.768,0
0.792,0
0.816,0
0.84000003,0
0.864,0
0.888,0
0.912,0
0.936,0
0.96000004,0
0.984,0
1.008,0
1.0320001,0
1.056,0
1.08,0
1.104,0
1.128,0
1.152,0
1.176,0
1.2,0
1.224,0
1.248,0
1.272,0
1.296,0
1.32,0
1.344,0
1.368,0
1.392,0
1.416,0
1.44,0
1.464,0
1.488,0
1.512,0
1.536,0
1.5600001,0
1.584,0
1.608,0
1.632,0
1.656,0
1.6800001,0
1.704,0
1.728,0
1.752,0
1.776,0
1.8000001,0
1.824,0
1.848,0
1.872,0
1.896,0
1.9200001,0
1.944,0
1.968,0
1.992,0
2.016,0
2.04,0
2.0640001,0
2.088,0
2.112,0
2.136,0
2.16,0
2.184,0
2.208,0
2.232,0
2.256,0
2.28,0
2.304,0
2.328,0
2.352,0
2.376,0
2.4,0
2.424,0
2.448,0
2.4720001,0
2.496,0
2.52,0
2.544,0
2.568,0
2.592,0
2.616,0
2.64,0
2.664,0
2.688,0
2.7120001,0
2.736,0
2.76,0
2.784,0
2.808,0
2.832,0
2.856,0
2.88,0
2.904,0
2.928,0
2.9520001,0
2.976,0
3,0
3.024,0
3.048,0
3.072,0
3.096,0
3.1200001,0
3.144,0
3.168,0
3.192,0
3.216,0
3.24,0
3.264,0
3.288,0
3.312,0
3.336,0
3.3600001,0
3.384,0
3.408,0
3.432,0
3.456,0
3.48,0
3.504,0
3.528,0
3.552,0
3.576,0
3.6000001,0
3.624,0
3.648,0
3.672,0
3.696,0
3.72,0
3.744,0
3.7680001,0
3.792,0
3.816,0
3.8400002,0
3.864,0
3.888,0
3.912,0
3.936,0
3.96,0
3.984,0
4.008,0
4.032,0
4.056,0
4.08,0
4.104,0
4.1280003,0
4.152,0
4.176,0
4.2,0
4.224,0
4.248,0
4.272,0
4.296,0
4.32,0
4.344,0
4.368,0
4.392,0
4.416,0
4.44,0
4.464,0
4.488,0
4.512,0
4.5360003,0
4.56,0
4.584,0
4.608,0
4.632,0
4.656,0
4.68,0
4.704,0
4.728,0
4.752,0
4.776,0
4.8,0
4.824,0
4.848,0
4.872,0
4.896,0
4.92,0
4.9440002,0
4.968,0
4.992,0
5.0160003,0
5.04,0
5.064,0
5.088,0
5.112,0
5.136,0
5.16,0
5.184,0
5.208,0
5.232,0
5.256,0
5.28,0
5.304,0
5.328,0
5.352,910.95
5.376,910.95
5.4,910.95
5.4240003,910.95
5.448,910.95
5.472,910.95
5.496,910.95
5.52,910.95
5.544,910.95
5.568,910.95
5.592,0
5.616,0
5.64,0
5.664,0
5.688,0
5.712,0
5.736,0
5.76,0
5.784,0
5.808,0
5.8320003,910.95
5.856,910.95
5.88,910.95
5.9040003,910.95
5.928,0
5.952,0
5.976,30
6,0
6.024,0
6.048,0
6.072,0
6.096,0
6.12,0
6.144,0
6.168,0
6.192,910.95
6.216,940.95
6.2400002,940.95
6.264,940.95
6.288,940.95
6.3120003,940.95
6.336,940.95
6.36,940.95
6.384,940.95
6.408,30
6.432,30
6.456,30
6.48,910.95
6.504,910.95
6.528,940.95
6.552,940.95
6.576,940.95
6.6,940.95
6.624,940.95
6.6480002,940.95
6.672,940.95
6.696,30
6.7200003,30
6.744,0
6.768,910.95
6.7920003,910.95
6.816,910.95
6.84,910.95
6.864,0
6.888,0
6.912,0
6.936,0
6.96,940.95
6.984,0
7.008,0
7.032,0
7.056,0
7.08,0
7.104,0
7.1280003,0
7.152,30
7.176,30
7.2000003,30
7.224,0
7.248,0
7.272,0
7.296,30
7.32,30
7.344,60
7.368,60
7.392,60
7.416,970.95
7.44,970.95
7.464,970.95
7.488,1881.9
7.512,970.95
7.5360003,970.95
7.56,970.95
7.584,970.95
7.6080003,940.95
7.632,940.95
7.656,30
7.6800003,30
7.704,0
7.728,910.95
7.752,970.95
7.776,940.95
7.8,940.95
7.824,910.95
7.848,910.95
7.872,910.95
7.896,910.95
7.92,910.95
7.9440002,910.95
7.968,910.95
7.992,0
8.016,0
8.04,0
8.064,0
8.088,910.95
8.112,910.95
8.136,1821.9
8.16,910.95
8.184,910.95
8.208,910.95
8.232,910.95
8.2560005,1821.9
8.28,1821.9
8.304,910.95
8.328,0
8.352,0
8.376,0
8.4,910.95
8.424,910.95
8.448,910.95
8.472,910.95
8.496,910.95
8.52,910.95
8.544,910.95
8.568,910.95
8.592,1821.9
8.616,1821.9
8.64,1821.9
8.6640005,910.95
8.688,1821.9
8.712,1821.9
8.736,0
8.76,0
8.784,0
8.808,0
8.832,0
8.856,0
8.88,0
8.904,0
8.928,0
8.952,0
8.976,30
9,90
9.024,90
9.048,60
9.0720005,60
9.096,60
9.12,60
9.144,60
9.168,60
9.192,60
9.216,60
9.24,970.95
9.264,970.95
9.288,970.95
9.312,90
9.336,90
9.36,90
9.384,1000.95
9.408,60
9.432,60
9.456,60
9.4800005,60
9.504,60
9.528,60
9.552,940.95
9.576,940.95
9.6,940.95
9.624001,30
9.648,30
9.672,30
9.696,940.95
9.72,1851.9
9.744,940.95
9.768,910.95
9.792,910.95
9.816,910.95
9.84,910.95
9.864,910.95
9.8880005,940.95
9.912,940.95
9.936,940.95
9.96,940.95
9.984,940.95
10.008,940.95
10.032001,940.95
10.056,30
10.08,0
10.104,1821.9
10.128,1821.9
10.152,910.95
10.176,910.95
10.2,910.95
10.224,0
10.248,0
10.272,0
10.2960005,0
10.32,910.95
10.344,910.95
10.368,910.95
10.392,910.95
10.416,910.95
10.440001,910.95
10.464,910.95
10.488,910.95
10.512,910.95
10.536,910.95
10.56,1821.9
10.584,1821.9
10.608,910.95
10.632,0
10.656,0
10.68,0
10.704,0
10.728,0
10.752,0
10.776,30
10.8,30
10.824,30
10.848001,60
10.872,60
10.896,60
10.92,60
10.944,60
10.968,30
10.992,30
11.016,60
11.04,60
11.064,30
11.088,30
11.112,0
11.136,0
11.16,0
11.184,0
11.208,0
11.232,0
11.2560005,0
11.28,0
11.304,30
11.328,30
11.352,60
11.376,60
11.400001,60
11.424,60
11.448,60
11.472,60
11.496,970.95
11.52,970.95
11.544,970.95
11.568,970.95
11.592,970.95
11.616,1881.9
11.64,2792.85
11.6640005,970.95
11.688,970.95
11.712,970.95
11.736,970.95
11.76,970.95
11.784,970.95
11.808001,970.95
11.832,970.95
11.856,970.95
11.88,60
11.904,30
11.928,30
11.952,60
11.976,60
12,60
12.024,60
12.048,60
12.0720005,30
12.096,30
12.12,30
12.144,30
12.168,30
12.192,30
12.216001,30
12.24,30
12.264,30
12.288,940.95
12.312,940.95
12.336,940.95
12.36,940.95
12.384,940.95
12.408,940.95
12.432,940.95
12.456,1851.9
12.4800005,1851.9
12.504,940.95
12.528,30
12.552,30
12.576,30
12.6,30
12.624001,30
12.648,30
12.672,30
12.696,30
12.72,30
12.744,30
12.768,30
12.792,90
12.816,60
12.84,60
12.864,970.95
12.8880005,940.95
12.912,940.95
12.936,940.95
12.96,940.95
12.984,970.95
13.008,970.95
13.032001,970.95
13.056,970.95
13.08,90
13.104,90
13.128,90
13.152,90
13.176,90
13.2,90
13.224,90
13.248,90
13.272,90
13.2960005,90
13.32,60
13.344,60
13.368,30
13.392,30
13.416,30
13.440001,30
13.464,0
13.488,0
13.512,910.95
13.536,910.95
13.56,910.95
13.584001,910.95
13.608,910.95
13.632,910.95
13.656,910.95
13.68,910.95
13.704,940.95
13.728,910.95
13.752,910.95
13.776,910.95
13.8,0
13.824,0
13.848001,0
13.872,0
13.896,0
13.92,0
13.944,0
13.968,0
13.992001,0
14.016,0
14.04,910.95
14.064,910.95
14.088,910.95
14.112,0
14.136,0
14.16,0
14.184,910.95
14.208,910.95
