time,power
0,0
0.024,0
0.048,0
0.072,0
0.096,0
0.120000005,0
0.144,0
0.168,0
0.192,0
0.216,0
0.24000001,0
0.264,0
0.288,0
0.312,0
0.336,0
0.36,0
0.384,0
0.408,0
0.432,0
0.456,0
0.48000002,0
0.504,0
0.528,0
0.552,0
0.576,0
0.6,0
0.624,0
0.648,0
0.672,0
0.696,0
0.72,0
0.744,0
0.768,0
0.792,0
0.816,0
0.84000003,0
0.864,0
0.888,0
0.912,0
0.936,0
0.96000004,0
0.984,0
1.008,0
1.0320001,0
1.056,0
1.08,0
1.104,0
1.128,0
1.152,0
1.176,0
1.2,0
1.224,0
1.248,0
1.272,0
1.296,0
1.32,0
1.344,0
1.368,0
1.392,0
1.416,0
1.44,0
1.464,0
1.488,0
1.512,0
1.536,0
1.5600001,0
1.584,0
1.608,0
1.632,0
1.656,0
1.6800001,0
1.704,0
1.728,0
1.752,0
1.776,0
1.8000001,0
1.824,0
1.848,0
1.872,0
1.896,0
1.9200001,0
1.944,0
1.968,0
1.992,0
2.016,0
2.04,0
2.0640001,0
2.088,0
2.112,0
2.136,0
2.16,0
2.184,0
2.208,0
2.232,0
2.256,0
2.28,0
2.304,0
2.328,0
2.352,0
2.376,0
2.4,0
2.424,0
2.448,0
2.4720001,0
2.496,0
2.52,0
2.544,0
2.568,0
2.592,0
2.616,0
2.64,0
2.664,0
2.688,0
2.7120001,0
2.736,0
2.76,0
2.784,0
2.808,0
2.832,0
2.856,0
2.88,0
2.904,0
2.928,0
2.9520001,0
2.976,0
3,0
3.024,0
3.048,0
3.072,0
3.096,0
3.1200001,0
3.144,0
3.168,0
3.192,0
3.216,0
3.24,0
3.264,0
3.288,0
3.312,0
3.336,0
3.3600001,0
3.384,0
3.408,0
3.432,0
3.456,0
3.48,0
3.504,0
3.528,0
3.552,0
3.576,0
3.6000001,0
3.624,0
3.648,0
3.672,0
3.696,0
3.72,0
3.744,0
3.7680001,0
3.792,0
3.816,0
3.8400002,0
3.864,0
3.888,0
3.912,0
3.936,0
3.96,0
3.984,0
4.008,0
4.032,0
4.056,0
4.08,0
4.104,0
4.1280003,0
4.152,0
4.176,0
4.2,0
4.224,0
4.248,0
4.272,0
4.296,0
4.32,0
4.344,0
4.368,0
4.392,0
4.416,0
4.44,0
4.464,0
4.488,0
4.512,0
4.5360003,0
4.56,0
4.584,0
4.608,0
4.632,0
4.656,0
4.68,0
4.704,0
4.728,0
4.752,0
4.776,0
4.8,0
4.824,0
4.848,0
4.872,0
4.896,0
4.92,0
4.9440002,0
4.968,0
4.992,0
5.0160003,0
5.04,0
5.064,0
5.088,0
5.112,0
5.136,0
5.16,0
5.184,0
5.208,0
5.232,0
5.256,0
5.28,0
5.304,0
5.328,0
5.352,30
5.376,30
5.4,30
5.4240003,30
5.448,30
5.472,30
5.496,30
5.52,30
5.544,30
5.568,30
5.592,30
5.616,30
5.64,30
5.664,60
5.688,60
5.712,30
5.736,30
5.76,0
5.784,0
5.808,0
5.8320003,0
5.856,0
5.88,0
5.9040003,0
5.928,0
5.952,0
5.976,0
6,0
6.024,0
6.048,0
6.072,0
6.096,0
6.12,0
6.144,0
6.168,0
6.192,0
6.216,0
6.2400002,30
6.264,940.95
6.288,940.95
6.3120003,940.95
6.336,970.95
6.36,970.95
6.384,970.95
6.408,970.95
6.432,970.95
6.456,970.95
6.48,970.95
6.504,60
6.528,30
6.552,30
6.576,30
6.6,30
6.624,30
6.6480002,30
6.672,30
6.696,30
6.7200003,30
6.744,30
6.768,30
6.7920003,90
6.816,90
6.84,90
6.864,30
6.888,30
6.912,30
6.936,30
6.96,30
6.984,30
7.008,30
7.032,30
7.056,30
7.08,30
7.104,30
7.1280003,940.95
7.152,940.95
7.176,940.95
7.2000003,970.95
7.224,970.95
7.248,1851.9
7.272,1851.9
7.296,940.95
7.32,30
7.344,30
7.368,30
7.392,0
7.416,0
7.44,0
7.464,0
7.488,0
7.512,910.95
7.5360003,910.95
7.56,910.95
7.584,910.95
7.6080003,910.95
7.632,910.95
7.656,910.95
7.6800003,1821.9
7.704,2732.85
7.728,2732.85
7.752,2732.85
7.776,1821.9
7.8,910.95
7.824,910.95
7.848,1821.9
7.872,1851.9
7.896,940.95
7.92,940.95
7.9440002,940.95
7.968,940.95
7.992,940.95
8.016,940.95
8.04,30
8.064,0
8.088,910.95
8.112,910.95
8.136,910.95
8.16,910.95
8.184,910.95
8.208,910.95
8.232,910.95
8.2560005,30
8.28,30
8.304,0
8.328,0
8.352,0
8.376,0
8.4,30
8.424,30
8.448,30
8.472,30
8.496,30
8.52,30
8.544,30
8.568,940.95
8.592,940.95
8.616,940.95
8.64,940.95
8.6640005,940.95
8.688,940.95
8.712,940.95
8.736,940.95
8.76,940.95
8.784,940.95
8.808,940.95
8.832,940.95
8.856,940.95
8.88,940.95
8.904,940.95
8.928,970.95
8.952,60
8.976,90
9,90
9.024,90
9.048,90
9.0720005,60
9.096,60
9.12,970.95
9.144,970.95
9.168,970.95
9.192,940.95
9.216,940.95
9.24,940.95
9.264,940.95
9.288,940.95
9.312,970.95
9.336,970.95
9.36,970.95
9.384,1881.9
9.408,1881.9
9.432,1881.9
9.456,2792.85
9.4800005,1851.9
9.504,1851.9
9.528,1851.9
9.552,1851.9
9.576,1881.9
9.6,970.95
9.624001,970.95
9.648,970.95
9.672,970.95
9.696,30
9.72,30
9.744,30
9.768,30
9.792,30
9.816,0
9.84,0
9.864,0
9.8880005,0
9.912,0
9.936,0
9.96,0
9.984,0
10.008,0
10.032001,0
10.056,0
10.08,30
10.104,940.95
10.128,940.95
10.152,940.95
10.176,940.95
10.2,940.95
10.224,940.95
10.248,940.95
10.272,940.95
10.2960005,940.95
10.32,940.95
10.344,30
10.368,30
10.392,30
10.416,30
10.440001,30
10.464,30
10.488,30
10.512,30
10.536,30
10.56,940.95
10.584,940.95
10.608,940.95
10.632,940.95
10.656,940.95
10.68,940.95
10.704,1000.95
10.728,1000.95
10.752,970.95
10.776,970.95
10.8,970.95
10.824,30
10.848001,30
10.872,30
10.896,30
10.92,30
10.944,30
10.968,30
10.992,30
11.016,30
11.04,30
11.064,30
11.088,30
11.112,30
11.136,30
11.16,30
11.184,30
11.208,30
11.232,30
11.2560005,30
11.28,30
11.304,30
11.328,30
11.352,30
11.376,30
11.400001,0
11.424,0
11.448,0
11.472,0
11.496,0
11.52,0
11.544,30
11.568,30
11.592,30
11.616,30
11.64,0
11.6640005,0
11.688,0
11.712,0
11.736,0
11.76,0
11.784,0
11.808001,0
11.832,30
11.856,30
11.88,30
11.904,30
11.928,940.95
11.952,30
11.976,60
12,60
12.024,60
12.048,60
12.0720005,90
12.096,90
12.12,90
12.144,90
12.168,90
12.192,90
12.216001,90
12.24,90
12.264,90
12.288,90
12.312,90
12.336,60
12.36,60
12.384,60
12.408,90
12.432,90
12.456,90
12.4800005,90
12.504,90
12.528,90
12.552,90
12.576,30
12.6,30
12.624001,30
12.648,30
12.672,30
12.696,940.95
12.72,940.95
12.744,30
12.768,30
12.792,0
12.816,910.95
12.84,910.95
12.864,910.95
12.8880005,0
12.912,0
12.936,0
12.96,0
12.984,0
13.008,0
13.032001,0
13.056,0
13.08,0
13.104,0
13.128,0
13.152,0
13.176,0
13.2,0
13.224,0
13.248,0
13.272,0
13.2960005,910.95
13.32,910.95
13.344,940.95
13.368,940.95
13.392,940.95
13.416,940.95
13.440001,940.95
13.464,940.95
13.488,940.95
13.512,940.95
13.536,30
13.56,30
13.584001,30
13.608,30
13.632,30
13.656,30
13.68,30
13.704,30
13.728,30
13.752,30
13.776,30
13.8,940.95
13.824,30
13.848001,30
13.872,30
13.896,30
13.92,30
13.944,30
13.968,30
13.992001,30
14.016,30
14.04,30
14.064,30
14.088,0
14.112,0
14.136,0
14.16,0
14.184,0
14.208,30
14.232,30
14.2560005,30
14.28,0
14.304,0
14.328,0
14.352,0
14.376,0
14.400001,0
14.424,0
14.448,0
14.472,0
14.496,0
14.52,0
14.544,0
14.568,0
14.592,0
