time,power
0,67.0284
0.024,67.0284
0.048,67.0284
0.072,67.0284
0.096,67.0284
0.120000005,67.0284
0.144,67.0284
0.168,67.0284
0.192,67.0284
0.216,67.0284
0.24000001,67.0284
0.264,67.0284
0.288,67.0284
0.312,67.0284
0.336,67.0284
0.36,67.0284
0.384,67.0284
0.408,67.0284
0.432,67.0284
0.456,67.0284
0.48000002,67.0284
0.504,67.0284
0.528,67.0284
0.552,67.0284
0.576,67.0284
0.6,67.0284
0.624,67.0284
0.648,67.0284
0.672,67.0284
0.696,67.0284
0.72,67.0284
0.744,67.0284
0.768,67.0284
0.792,67.0284
0.816,67.0284
0.84000003,67.0284
0.864,67.0284
0.888,67.0284
0.912,67.0284
0.936,67.0284
0.96000004,67.0284
0.984,67.0284
1.008,67.0284
1.0320001,67.0284
1.056,67.0284
1.08,67.0284
1.104,67.0284
1.128,67.0284
1.152,67.0284
1.176,67.0284
1.2,67.0284
1.224,67.0284
1.248,67.0284
1.272,67.0284
1.296,67.0284
1.32,67.0284
1.344,67.0284
1.368,67.0284
1.392,67.0284
1.416,67.0284
1.44,67.0284
1.464,67.0284
1.488,67.0284
1.512,67.0284
1.536,67.0284
1.5600001,67.0284
1.584,67.0284
1.608,67.0284
1.632,67.0284
1.656,67.0284
1.6800001,67.0284
1.704,67.0284
1.728,67.0284
1.752,67.0284
1.776,67.0284
1.8000001,67.0284
1.824,67.0284
1.848,67.0284
1.872,67.0284
1.896,67.0284
1.9200001,67.0284
1.944,67.0284
1.968,67.0284
1.992,67.0284
2.016,67.0284
2.04,67.0284
2.0640001,67.0284
2.088,67.0284
2.112,67.0284
2.136,67.0284
2.16,67.0284
2.184,67.0284
2.208,67.0284
2.232,67.0284
2.256,67.0284
2.28,67.0284
2.304,67.0284
2.328,67.0284
2.352,67.0284
2.376,67.0284
2.4,67.0284
2.424,67.0284
2.448,67.0284
2.4720001,67.0284
2.496,67.0284
2.52,67.0284
2.544,67.0284
2.568,67.0284
2.592,67.0284
2.616,67.0284
2.64,67.0284
2.664,67.0284
2.688,67.0284
2.7120001,67.0284
2.736,67.0284
2.76,67.0284
2.784,67.0284
2.808,67.0284
2.832,67.0284
2.856,67.0284
2.88,67.0284
2.904,67.0284
2.928,67.0284
2.9520001,67.0284
2.976,67.0284
3,67.0284
3.024,67.0284
3.048,67.0284
3.072,67.0284
3.096,67.0284
3.1200001,67.0284
3.144,67.0284
3.168,67.0284
3.192,67.0284
3.216,67.0284
3.24,67.0284
3.264,67.0284
3.288,67.0284
3.312,67.0284
3.336,67.0284
3.3600001,67.0284
3.384,67.0284
3.408,67.0284
3.432,67.0284
3.456,67.0284
3.48,67.0284
3.504,67.0284
3.528,67.0284
3.552,67.0284
3.576,67.0284
3.6000001,67.0284
3.624,67.0284
3.648,67.0284
3.672,67.0284
3.696,67.0284
3.72,67.0284
3.744,67.0284
3.7680001,67.0284
3.792,67.0284
3.816,67.0284
3.8400002,67.0284
3.864,67.0284
3.888,67.0284
3.912,67.0284
3.936,67.0284
3.96,67.0284
3.984,67.0284
4.008,67.0284
4.032,67.0284
4.056,67.0284
4.08,67.0284
4.104,67.0284
4.1280003,67.0284
4.152,67.0284
4.176,67.0284
4.2,67.0284
4.224,67.0284
4.248,67.0284
4.272,67.0284
4.296,67.0284
4.32,67.0284
4.344,67.0284
4.368,67.0284
4.392,67.0284
4.416,67.0284
4.44,67.0284
4.464,67.0284
4.488,67.0284
4.512,67.0284
4.5360003,67.0284
4.56,67.0284
4.584,67.0284
4.608,67.0284
4.632,67.0284
4.656,67.0284
4.68,67.0284
4.704,67.0284
4.728,67.0284
4.752,67.0284
4.776,67.0284
4.8,67.0284
4.824,67.0284
4.848,67.0284
4.872,67.0284
4.896,67.0284
4.92,67.0284
4.9440002,67.0284
4.968,67.0284
4.992,67.0284
5.0160003,67.0284
5.04,67.0284
5.064,67.0284
5.088,88.8912
5.112,110.754
5.136,132.61679
5.16,154.47958
5.184,176.34238
5.208,198.20517
5.232,220.06796
5.256,241.93076
5.28,263.79355
5.304,263.79355
5.328,263.79355
5.352,263.79355
5.376,285.65634
5.4,307.51913
5.4240003,329.38193
5.448,351.24472
5.472,373.1075
5.496,394.9703
5.52,416.8331
5.544,438.6959
5.568,460.5587
5.592,482.42148
5.616,482.42148
5.64,482.42148
5.664,482.42148
5.688,482.42148
5.712,504.28427
5.736,526.1471
5.76,548.0099
5.784,569.8727
5.808,591.7355
5.8320003,613.59827
5.856,635.46106
5.88,657.32385
5.9040003,679.18665
5.928,701.04944
5.952,701.04944
5.976,701.04944
6,722.91223
6.024,723.6322
6.048,724.3522
6.072,725.07214
6.096,725.07214
6.12,725.07214
6.144,725.07214
6.168,725.07214
6.192,725.07214
6.216,725.07214
6.2400002,725.07214
6.264,725.07214
6.288,725.07214
6.3120003,725.07214
6.336,725.07214
6.36,746.93494
6.384,746.93494
6.408,746.93494
6.432,746.93494
6.456,746.93494
6.48,747.6549
6.504,748.3749
6.528,749.09485
6.552,749.8148
6.576,750.5348
6.6,751.25476
6.624,751.97473
6.6480002,752.6947
6.672,753.4147
6.696,754.13464
6.7200003,754.8546
6.744,755.5746
6.768,756.29456
6.7920003,757.0145
6.816,779.5973
6.84,802.9
6.864,826.20276
6.888,849.5055
6.912,872.8082
6.936,895.391
6.96,917.97375
6.984,941.2765
7.008,964.5792
7.032,1009.0248
7.056,1053.4703
7.08,1119.7787
7.104,1186.087
7.1280003,1252.3954
7.152,1318.7037
7.176,1385.0121
7.2000003,1429.4576
7.224,1473.9032
