time,power
0,0
0.024,0
0.048,0
0.072,0
0.096,0
0.120000005,0
0.144,0
0.168,0
0.192,0
0.216,0
0.24000001,0
0.264,0
0.288,0
0.312,0
0.336,0
0.36,0
0.384,0
0.408,0
0.432,0
0.456,0
0.48000002,0
0.504,0
0.528,0
0.552,0
0.576,0
0.6,0
0.624,0
0.648,0
0.672,0
0.696,0
0.72,0
0.744,0
0.768,0
0.792,0
0.816,0
0.84000003,0
0.864,0
0.888,0
0.912,0
0.936,0
0.96000004,0
0.984,0
1.008,0
1.0320001,0
1.056,0
1.08,0
1.104,0
1.128,0
1.152,0
1.176,0
1.2,0
1.224,0
1.248,0
1.272,0
1.296,0
1.32,0
1.344,0
1.368,0
1.392,0
1.416,0
1.44,0
1.464,0
1.488,0
1.512,0
1.536,0
1.5600001,0
1.584,0
1.608,0
1.632,0
1.656,0
1.6800001,0
1.704,0
1.728,0
1.752,0
1.776,0
1.8000001,0
1.824,0
1.848,0
1.872,0
1.896,0
1.9200001,0
1.944,0
1.968,0
1.992,0
2.016,0
2.04,0
2.0640001,0
2.088,0
2.112,0
2.136,0
2.16,0
2.184,0
2.208,0
2.232,0
2.256,0
2.28,0
2.304,0
2.328,0
2.352,0
2.376,0
2.4,0
2.424,0
2.448,0
2.4720001,0
2.496,0
2.52,0
2.544,0
2.568,0
2.592,0
2.616,0
2.64,0
2.664,0
2.688,0
2.7120001,0
2.736,0
2.76,0
2.784,0
2.808,0
2.832,0
2.856,0
2.88,0
2.904,0
2.928,0
2.9520001,0
2.976,0
3,0
3.024,0
3.048,0
3.072,0
3.096,0
3.1200001,0
3.144,0
3.168,0
3.192,0
3.216,0
3.24,0
3.264,0
3.288,0
3.312,0
3.336,0
3.3600001,0
3.384,0
3.408,0
3.432,0
3.456,0
3.48,0
3.504,0
3.528,0
3.552,0
3.576,0
3.6000001,0
3.624,0
3.648,0
3.672,0
3.696,0
3.72,0
3.744,0
3.7680001,0
3.792,0
3.816,0
3.8400002,0
3.864,0
3.888,0
3.912,0
3.936,0
3.96,0
3.984,0
4.008,0
4.032,0
4.056,0
4.08,0
4.104,0
4.1280003,0
4.152,0
4.176,0
4.2,0
4.224,0
4.248,0
4.272,0
4.296,0
4.32,0
4.344,0
4.368,0
4.392,0
4.416,0
4.44,0
4.464,0
4.488,0
4.512,0
4.5360003,0
4.56,0
4.584,0
4.608,0
4.632,0
4.656,0
4.68,0
4.704,0
4.728,0
4.752,0
4.776,0
4.8,0
4.824,0
4.848,0
4.872,0
4.896,0
4.92,0
4.9440002,0
4.968,0
4.992,0
5.0160003,0
5.04,0
5.064,0
5.088,0
5.112,0
5.136,30
5.16,30
5.184,30
5.208,30
5.232,30
5.256,0
5.28,0
5.304,0
5.328,0
5.352,0
5.376,0
5.4,0
5.4240003,0
5.448,0
5.472,0
5.496,0
5.52,0
5.544,0
5.568,0
5.592,0
5.616,0
5.64,0
5.664,0
5.688,0
5.712,0
5.736,910.95
5.76,910.95
5.784,910.95
5.808,910.95
5.8320003,910.95
5.856,910.95
5.88,910.95
5.9040003,910.95
5.928,910.95
5.952,910.95
5.976,1821.9
6,940.95
6.024,910.95
6.048,1821.9
6.072,1821.9
6.096,1821.9
6.12,1821.9
6.144,1821.9
6.168,910.95
6.192,910.95
6.216,0
6.2400002,0
6.264,0
6.288,0
6.3120003,0
6.336,0
6.36,910.95
6.384,0
6.408,0
6.432,910.95
6.456,910.95
6.48,910.95
6.504,910.95
6.528,910.95
6.552,910.95
6.576,910.95
6.6,1821.9
6.624,1821.9
6.6480002,1821.9
6.672,910.95
6.696,910.95
6.7200003,910.95
6.744,910.95
6.768,0
6.7920003,910.95
6.816,0
6.84,0
6.864,0
6.888,910.95
6.912,910.95
6.936,940.95
6.96,940.95
6.984,940.95
7.008,940.95
7.032,940.95
7.056,940.95
7.08,940.95
7.104,940.95
7.1280003,30
7.152,940.95
7.176,1851.9
7.2000003,1851.9
7.224,2762.85
7.248,2762.85
7.272,2762.85
7.296,2762.85
7.32,1851.9
7.344,1881.9
7.368,1851.9
7.392,1851.9
7.416,1851.9
7.44,1851.9
7.464,30
7.488,30
7.512,0
7.5360003,0
7.56,0
7.584,0
7.6080003,0
7.632,0
7.656,0
7.6800003,0
7.704,30
7.728,30
7.752,60
7.776,60
7.8,60
7.824,60
7.848,60
7.872,60
7.896,0
7.92,0
7.9440002,0
7.968,910.95
7.992,0
8.016,0
8.04,0
8.064,0
8.088,0
8.112,0
8.136,0
8.16,0
8.184,0
8.208,0
8.232,0
8.2560005,0
8.28,910.95
8.304,0
8.328,30
8.352,30
8.376,60
8.4,60
8.424,970.95
8.448,970.95
8.472,940.95
8.496,940.95
8.52,940.95
8.544,910.95
8.568,910.95
8.592,910.95
8.616,910.95
8.64,910.95
8.6640005,910.95
8.688,910.95
8.712,0
8.736,0
8.76,0
8.784,0
8.808,910.95
8.832,910.95
8.856,910.95
8.88,910.95
8.904,910.95
8.928,910.95
8.952,940.95
8.976,940.95
9,940.95
9.024,940.95
9.048,940.95
9.0720005,1851.9
9.096,1851.9
9.12,940.95
9.144,970.95
9.168,970.95
9.192,970.95
9.216,970.95
9.24,970.95
9.264,970.95
9.288,60
9.312,60
9.336,60
9.36,60
9.384,90
9.408,90
9.432,90
9.456,90
9.4800005,90
9.504,1000.95
9.528,1000.95
9.552,1000.95
9.576,1000.95
9.6,1000.95
9.624001,1881.9
9.648,1881.9
9.672,1881.9
9.696,1881.9
9.72,2792.85
9.744,2792.85
9.768,2762.85
9.792,1851.9
9.816,1881.9
9.84,1881.9
9.864,970.95
9.8880005,970.95
9.912,970.95
9.936,970.95
9.96,970.95
9.984,970.95
10.008,60
10.032001,60
10.056,970.95
10.08,970.95
10.104,970.95
10.128,970.95
10.152,970.95
10.176,970.95
10.2,970.95
10.224,970.95
10.248,970.95
10.272,970.95
10.2960005,970.95
10.32,60
10.344,60
10.368,970.95
10.392,970.95
10.416,970.95
10.440001,1000.95
10.464,1000.95
10.488,1030.95
10.512,1030.95
10.536,1911.9
10.56,1911.9
10.584,1881.9
10.608,1881.9
10.632,970.95
10.656,970.95
10.68,970.95
10.704,1000.95
10.728,1000.95
10.752,1000.95
10.776,1030.95
10.8,120
10.824,120
10.848001,120
10.872,120
10.896,120
10.92,120
10.944,120
10.968,120
10.992,120
11.016,90
11.04,60
11.064,60
11.088,60
11.112,60
11.136,60
11.16,60
11.184,60
11.208,60
11.232,60
11.2560005,60
11.28,60
11.304,60
11.328,60
11.352,60
11.376,60
11.400001,30
11.424,30
11.448,30
11.472,30
11.496,30
11.52,30
11.544,30
11.568,30
11.592,30
11.616,30
11.64,30
11.6640005,30
11.688,30
11.712,30
11.736,30
11.76,30
11.784,30
11.808001,30
11.832,30
11.856,0
11.88,0
11.904,910.95
11.928,910.95
11.952,0
11.976,0
12,0
12.024,0
12.048,0
12.0720005,0
12.096,0
12.12,0
12.144,910.95
12.168,0
12.192,0
12.216001,30
12.24,940.95
12.264,30
12.288,30
12.312,30
12.336,30
12.36,30
12.384,940.95
12.408,940.95
12.432,0
12.456,0
12.4800005,30
12.504,30
12.528,30
12.552,30
12.576,30
12.6,30
12.624001,30
12.648,30
12.672,30
12.696,30
12.72,30
12.744,0
12.768,0
12.792,0
12.816,0
12.84,0
12.864,0
12.8880005,0
12.912,0
12.936,0
12.96,0
12.984,0
13.008,0
13.032001,0
13.056,0
13.08,0
13.104,0
13.128,0
13.152,0
13.176,0
13.2,0
13.224,0
13.248,0
13.272,0
13.2960005,0
13.32,0
13.344,0
13.368,910.95
13.392,910.95
13.416,940.95
13.440001,910.95
13.464,910.95
13.488,910.95
13.512,910.95
13.536,910.95
13.56,940.95
13.584001,940.95
13.608,940.95
13.632,940.95
13.656,60
13.68,60
13.704,30
13.728,30
13.752,30
13.776,30
13.8,30
13.824,30
13.848001,30
13.872,30
13.896,30
13.92,940.95
13.944,940.95
13.968,940.95
13.992001,940.95
14.016,940.95
14.04,940.95
14.064,940.95
14.088,910.95
14.112,910.95
